,Injection Tubing Diameter,Number of Wells,Number of Connections,Mass Flow Rate,Pipeline Diameter,Pipeline Length,Number of Compressors,Number of Condensers,Compressor Outlet Pressure,p2,p4,p6,p8,p10,p12
0,0.4,20,1,1,12,28000,1,10,1500,700,1300,2300,4800,5500,6000
1,0.7,5,15,1,20,55000,6,10,10,500,900,2800,4800,5500,6500
2,0.7,5,30,25,20,28000,10,10,10,700,900,2300,4400,5500,6500
3,0.4,10,1,1,12,55000,6,10,755,500,900,2800,4800,6000,6000
4,0.7,5,15,25,12,1000,6,10,10,700,1800,2300,4400,5500,6500
5,0.4,10,15,1,12,55000,10,1,1500,900,1300,2300,3800,6000,7000
6,0.7,20,1,25,20,55000,1,10,755,700,1300,2300,3800,5500,7000
7,0.7,10,30,1,20,28000,6,6,10,700,1800,2800,4400,6000,6500
8,0.4,20,15,500,20,55000,6,6,1500,700,900,2800,4400,6000,6500
9,0.7,5,1,500,12,55000,1,10,10,900,1300,3200,4400,5000,7000
10,0.4,20,30,1,12,55000,6,10,755,900,1300,3200,4800,6000,7000
11,0.7,5,1,500,12,1000,6,1,10,700,1300,2800,4400,5500,6000
12,0.4,20,1,1,20,55000,10,10,1500,500,1800,3200,3800,6000,6500
13,0.7,5,1,500,20,28000,10,6,10,700,1300,2800,4400,5500,6500
14,0.4,5,30,500,20,1000,6,1,755,500,1800,2800,3800,5500,6500
15,0.4,5,1,1,12,28000,1,10,10,500,1300,3200,4400,5000,6000
16,0.7,5,1,25,20,28000,1,1,10,700,1300,2800,4400,5500,6500
17,0.4,10,1,1,20,55000,1,1,10,700,1800,3200,4800,6000,6500
18,0.4,5,1,1,4,28000,10,10,10,500,1300,3200,4800,5000,7000
19,0.4,5,30,25,20,1000,6,6,1500,500,1800,2800,4800,5500,6500
20,0.7,20,1,25,4,55000,10,10,10,900,1300,3200,4400,5000,6000
21,0.7,10,15,25,20,55000,6,1,755,700,900,2800,4400,6000,6500
22,0.7,5,30,1,4,1000,6,6,10,700,1300,2800,4400,5500,7000
23,0.4,10,30,1,20,55000,6,6,1500,900,1300,3200,3800,6000,6000
24,0.4,5,15,1,4,55000,1,6,755,900,1300,2800,4800,6000,6000
25,0.4,5,15,500,4,1000,6,10,10,700,1800,2300,4400,5500,7000
26,0.7,20,1,500,20,28000,6,1,1500,700,1800,2800,4400,6000,6500
27,0.7,10,1,500,4,55000,10,10,10,700,1300,2300,4800,5500,6500
28,0.7,5,15,1,20,1000,6,6,755,500,900,2800,3800,5500,6500
29,0.4,10,1,1,4,28000,6,10,755,500,1300,2800,3800,5500,6500
30,0.4,20,1,1,4,55000,1,1,1500,500,900,2800,4400,6000,7000
31,0.7,5,30,500,20,55000,1,10,10,700,900,2300,4400,5500,6000
32,0.4,5,1,1,20,55000,6,10,10,700,1300,2800,4400,5500,6500
33,0.4,10,1,1,4,1000,10,10,755,700,1300,3200,3800,5500,7000
34,0.58,5,30,1,20,55000,6,10,10,900,1800,2800,3800,5500,6500
35,0.58,5,15,500,20,1000,1,10,10,700,1800,3200,4400,5500,6500
36,0.4,20,1,1,4,55000,6,10,1500,900,1800,2800,3800,5000,7000
37,0.58,5,30,500,4,28000,6,10,10,700,900,3200,4400,5500,6500
38,0.4,20,30,1,4,55000,1,6,755,500,1300,3200,4800,5000,6000
39,0.58,10,1,500,20,55000,10,10,1500,700,1300,3200,4800,5500,6000
40,0.58,20,15,1,20,1000,6,1,10,700,900,2800,4400,5000,6500
41,0.4,10,30,25,20,55000,6,1,755,700,1800,2800,4400,5000,6500
42,0.58,5,1,25,4,55000,10,10,10,500,1300,2300,4400,6000,6000
43,0.4,10,15,1,4,55000,6,10,1500,500,1300,2300,3800,5000,6000
44,0.58,5,1,25,4,28000,6,6,10,700,1300,2800,4400,5500,7000
45,0.4,10,1,1,20,55000,1,10,755,900,900,2300,4800,5000,6500
46,0.58,5,1,25,20,1000,1,1,10,700,1300,2800,4400,5500,6500
47,0.4,5,15,25,20,28000,6,6,1500,900,900,2800,4800,5500,6500
48,0.4,5,1,1,4,1000,10,10,10,900,1300,2300,4400,6000,7000
49,0.58,5,1,500,20,1000,10,6,10,700,1300,2800,4400,5500,6500
50,0.4,20,1,1,20,55000,10,6,10,700,900,2300,3800,5000,6500
51,0.4,5,1,1,12,1000,1,10,10,900,1300,2300,3800,6000,6000
52,0.4,5,15,500,20,28000,6,1,755,900,900,2800,3800,5500,6500
53,0.58,10,1,500,12,55000,1,10,10,500,1300,2300,4400,6000,7000
54,0.58,20,30,500,20,55000,6,6,1500,700,1800,2800,4400,5000,6500
55,0.58,5,15,1,12,28000,6,1,10,700,1300,2800,4400,5500,6000
56,0.4,20,15,1,20,55000,6,1,755,500,1300,2300,4800,5000,7000
57,0.4,5,30,1,12,55000,10,1,1500,500,1300,2800,3800,5000,7000
58,0.4,5,30,25,12,28000,6,10,10,700,900,3200,4400,5500,6000
59,0.58,10,1,25,20,1000,6,6,755,700,900,2800,4400,5000,6500
60,0.58,20,1,25,12,55000,1,10,10,700,1300,3200,3800,5500,6500
61,0.58,5,30,1,20,28000,6,1,1500,900,1800,2800,4800,5500,6500
62,0.4,20,1,1,12,1000,6,10,1500,900,1300,2800,4800,5500,6500
63,0.4,10,1,1,12,55000,10,6,755,900,1800,2800,4400,5000,6000
64,0.58,5,15,25,20,55000,10,10,10,700,1800,3200,4400,5500,7000
