,Number of Wells,Number of Connections,Mass Flow Rate,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12
0,5,2,5,4,55000,900,1800,3200,4400,6000,7000
1,5,1,15,12,1000,500,1800,3200,4400,6000,6500
2,5,3,1,4,28000,900,1800,2300,4800,5500,7000
3,20,1,1,12,55000,500,1300,2300,4800,5000,6000
4,5,2,5,4,1000,900,1800,3200,3800,5000,7000
5,5,1,5,12,1000,500,900,2800,3800,6000,7000
6,20,3,1,12,28000,900,1800,2800,4400,5000,7000
7,20,3,1,12,55000,900,900,2800,4800,5500,6000
8,20,3,15,12,1000,900,900,2300,4800,6000,6000
9,20,3,5,12,28000,900,900,3200,4400,5000,6000
10,20,2,5,20,1000,500,900,2300,4800,6000,7000
11,5,3,5,20,1000,700,1800,3200,3800,5000,7000
12,20,2,15,12,1000,500,1300,2800,4800,6000,6000
13,5,3,5,20,28000,900,1300,3200,4800,5500,6000
14,20,2,1,20,1000,500,1800,3200,4800,6000,6500
15,5,3,5,20,55000,700,1800,3200,4400,6000,7000
16,20,3,5,12,1000,900,1800,3200,4800,6000,7000
17,10,1,5,20,28000,900,1800,3200,3800,6000,7000
18,10,2,1,12,1000,700,1800,3200,3800,6000,6000
19,10,3,15,20,55000,900,1800,2800,4800,5000,7000
20,20,2,15,12,28000,700,900,2800,4800,5500,6500
21,10,1,5,20,1000,900,1800,3200,4400,5500,7000
22,10,2,5,12,1000,700,1300,2300,4400,6000,7000
23,20,3,15,12,55000,900,1800,2300,3800,5500,7000
24,20,3,15,12,28000,900,1300,2300,4800,5000,6500
25,20,3,1,12,1000,900,1300,2800,4800,6000,6500
26,20,3,5,12,55000,900,1300,3200,3800,5500,6500
27,20,1,5,4,1000,700,1300,2800,4800,6000,7000
28,10,3,5,4,1000,500,1800,3200,4400,5500,7000
29,20,1,1,12,1000,700,900,2300,4800,6000,6500
30,10,3,5,4,55000,900,900,3200,4800,5000,6500
31,20,1,15,4,1000,700,1800,3200,4800,6000,6000
32,10,3,5,4,28000,500,1800,3200,3800,6000,7000
