Number of Wells,Number of Connections,Pipeline Diameter,Pipeline Length,p2,p4,p6,p8,p10,p12,NPV,tot_co2_gen
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.679558658914,4365.4930376302555
5.000000014901161,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.67956399676,4365.4930376302555
5.0,2.000000014901161,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.67952616966,4365.493070155712
5.0,2.0,12.000000014901161,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.679559255408,4365.4930376302555
5.0,2.0,12.0,28000.0000000149,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.67955865889,4365.4930376302555
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,7000.0,17857.679558658914,4365.4930376302555
5.0,2.0,12.0,28000.0,150,1799.9999999850988,3200.0,4800.0,5500.0,7000.0,17857.679558661726,4365.493037624711
5.0,2.0,12.0,28000.0,150,1800.0,3199.999999985099,4800.0,5500.0,7000.0,17857.67955865902,4365.493037626407
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4799.999999985099,5500.0,7000.0,17857.67955865902,4365.493037632466
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.000000014901,7000.0,17857.67955865895,4365.4930376301845
5.0,2.0,12.0,28000.0,150,1800.0,3200.0,4800.0,5500.0,6999.999999985099,17857.679558658965,4365.493037630155
20.0,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.44267232513,2182.7110018391386
19.99999998509884,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.44267229505,2182.7110018391386
20.0,1.0000000149011612,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.44265389035,2182.711034364067
20.0,1.0,19.99999998509884,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.442672318855,2182.7110018391386
20.0,1.0,20.0,27999.998291030526,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.44267232513,2182.7110018391386
20.0,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.44267232513,2182.7110018391386
20.0,1.0,20.0,27999.998291015625,150,1799.8112793117762,3199.992919921875,4799.992919921875,5500.00244140625,6999.99658203125,20082.442672323734,2182.71100184191
20.0,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919936776,4799.992919921875,5500.00244140625,6999.99658203125,20082.442672325084,2182.711001841062
20.0,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919936776,5500.00244140625,6999.99658203125,20082.442672325084,2182.711001838033
20.0,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.002441421151,6999.99658203125,20082.44267232515,2182.711001839103
20.0,1.0,20.0,27999.998291015625,150,1799.811279296875,3199.992919921875,4799.992919921875,5500.00244140625,6999.996582046151,20082.44267232511,2182.7110018391877
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.451523517466,2182.693389515287
19.99999998509884,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.45152348743,2182.693389515287
20.0,1.000000021207763,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.451505082878,2182.693422039953
20.0,1.000000006306602,19.99999998509884,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.451523511234,2182.693389515287
20.0,1.000000006306602,20.0,27999.998290928263,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.451523517466,2182.693389515287
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.451523517466,2182.693389515287
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178920156,3199.9897456657886,4799.989745665789,5500.003662257119,6999.995116980989,20082.451523516058,2182.693389518059
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.98974568069,4799.989745665789,5500.003662257119,6999.995116980989,20082.451523517415,2182.693389517211
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.98974568069,5500.003662257119,6999.995116980989,20082.451523517415,2182.693389514182
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.00366227202,6999.995116980989,20082.45152351748,2182.6933895152515
20.0,1.000000006306602,20.0,27999.99829091336,150,1799.7175178771145,3199.9897456657886,4799.989745665789,5500.003662257119,6999.99511699589,20082.45152351744,2182.693389515336
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.496184513384,2182.604487890615
19.999999967638043,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.496184543405,2182.604487890615
19.999999952736882,1.0000000149011612,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.496166079396,2182.6045204139564
19.999999952736882,1.0,19.99999999026191,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.496184519576,2182.604487890615
19.999999952736882,1.0,19.999999975360748,27999.998290412816,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.496184513384,2182.604487890615
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.496184513384,2182.604487890615
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029936958,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570311563,20082.49618451198,2182.604487893387
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652148706,4799.972652133805,5500.00854640327,6999.986570311563,20082.496184513333,2182.6044878925386
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652148706,5500.00854640327,6999.986570311563,20082.496184513337,2182.6044878895095
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.008546418171,6999.986570311563,20082.4961845134,2182.6044878905786
19.999999952736882,1.0,19.999999975360748,27999.998290397914,150,1799.2450029787947,3199.972652133805,4799.972652133805,5500.00854640327,6999.986570326464,20082.49618451336,2182.604487890664
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.71872914632,2182.161357712381
19.99999998509884,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.718729116204,2182.161357712381
20.0,1.0000001102605691,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.718710715635,2182.1613902291165
20.0,1.000000095359408,19.99999998509884,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.718729140048,2182.161357712381
20.0,1.000000095359408,20.0,27999.99828784241,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.71872914632,2182.161357712381
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.71872914632,2182.161357712381
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826963874,3199.887366539459,4799.888587242623,5500.032915076766,6999.9439279824,20082.718729144915,2182.161357715154
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.88736655436,4799.888587242623,5500.032915076766,6999.9439279824,20082.718729146265,2182.1613577143057
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587257524,5500.032915076766,6999.9439279824,20082.718729146265,2182.1613577112757
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915091667,6999.9439279824,20082.718729146334,2182.161357712346
20.0,1.000000095359408,20.0,27999.998287827508,150,1796.8886826814862,3199.887366539459,4799.888587242623,5500.032915076766,6999.943927997301,20082.718729146287,2182.1613577124303
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346436564,2179.944129142691
19.999999900226584,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346466632,2179.944129142691
19.999999885325423,1.0000000149011612,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832328022534,2179.9441616263903
19.999999885325423,1.0,19.999999955168466,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346442803,2179.944129142691
19.999999885325423,1.0,19.999999940267305,27999.998274985643,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346436564,2179.944129142691
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346436564,2179.944129142691
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027753100134,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346435156,2179.944129145462
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.459562176875,4799.465667556663,5500.154803126067,6999.728197155495,20083.832346436506,2179.944129144621
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667571564,5500.154803126067,6999.728197155495,20083.832346436506,2179.944129141586
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803140968,6999.728197155495,20083.832346436582,2179.944129142656
19.999999885325423,1.0,19.999999940267305,27999.99827497074,150,1785.1027752951122,3199.4595621619737,4799.465667556663,5500.154803126067,6999.728197170396,20083.83234643654,2179.944129142741
20.0,1.0000000747012845,20.0,27999.998210512982,150,1726.0139940978524,3197.3135868625377,4797.344181739137,5500.767098263993,6998.649098283211,20089.40709716311,2168.844332459816
19.99999998509884,1.0000000747012845,20.0,27999.998210512982,150,1726.0139940978524,3197.3135868625377,4797.344181739137,5500.767098263993,6998.649098283211,20089.40709713307,2168.844332459816
20.0,1.0000000896024457,20.0,27999.998210512982,150,1726.0139940978524,3197.3135868625377,4797.344181739137,5500.767098263993,6998.649098283211,20089.407078832166,2168.8443647781123
