,Number_Wells,Number_Connections,Pipeline_Diameter,Pipeline_Length,p2,p4,p6,p8,p10,p12,Result
0,10,1,4,1000,500,900,2300,3800,5000,6000,-19852.388966808743
1,10,1,4,1000,500,900,2300,3800,5000,6500,-19852.10642581069
2,10,1,4,1000,500,900,2300,3800,5000,7000,-19851.12326225686
3,10,1,4,1000,500,900,2300,3800,5500,6000,-19851.2511390808
4,10,1,4,1000,500,900,2300,3800,5500,6500,-19851.44805771273
5,10,1,4,1000,500,900,2300,3800,5500,7000,-19850.917374394285
6,10,1,4,1000,500,900,2300,3800,6000,6000,-19849.201389426053
7,10,1,4,1000,500,900,2300,3800,6000,6500,-19849.826229329912
8,10,1,4,1000,500,900,2300,3800,6000,7000,-19849.699387973837
9,10,1,4,1000,500,900,2300,4400,5000,6000,-19848.75162469383
10,10,1,4,1000,500,900,2300,4400,5000,6500,-19848.46908369577
11,10,1,4,1000,500,900,2300,4400,5000,7000,-19847.485920141946
12,10,1,4,1000,500,900,2300,4400,5500,6000,-19848.508288867437
13,10,1,4,1000,500,900,2300,4400,5500,6500,-19848.70520749936
14,10,1,4,1000,500,900,2300,4400,5500,7000,-19848.17452418092
15,10,1,4,1000,500,900,2300,4400,6000,6000,-19847.29382427995
16,10,1,4,1000,500,900,2300,4400,6000,6500,-19847.91866418381
17,10,1,4,1000,500,900,2300,4400,6000,7000,-19847.79182282774
18,10,1,4,1000,500,900,2300,4800,5000,6000,-19845.24331956272
19,10,1,4,1000,500,900,2300,4800,5000,6500,-19844.960778564666
20,10,1,4,1000,500,900,2300,4800,5000,7000,-19843.97761501083
21,10,1,4,1000,500,900,2300,4800,5500,6000,-19845.51569406933
22,10,1,4,1000,500,900,2300,4800,5500,6500,-19845.712612701253
23,10,1,4,1000,500,900,2300,4800,5500,7000,-19845.181929382805
24,10,1,4,1000,500,900,2300,4800,6000,6000,-19844.782804708466
25,10,1,4,1000,500,900,2300,4800,6000,6500,-19845.407644612314
26,10,1,4,1000,500,900,2300,4800,6000,7000,-19845.280803256246
27,10,1,4,1000,500,900,2800,3800,5000,6000,-19843.420922512665
28,10,1,4,1000,500,900,2800,3800,5000,6500,-19843.138381514607
29,10,1,4,1000,500,900,2800,3800,5000,7000,-19842.15521796078
30,10,1,4,1000,500,900,2800,3800,5500,6000,-19842.283094784718
31,10,1,4,1000,500,900,2800,3800,5500,6500,-19842.480013416647
32,10,1,4,1000,500,900,2800,3800,5500,7000,-19841.949330098203
