,Material,shape,minimum,location
0,Steel,Square,97.40881072608953,[0.28335637 0.01179951]
1,Aluminum,Square,52.63917268730177,[0.2911544  0.01783244]
2,Titanium,Square,23.93603929006535,[0.2410909  0.00577959]
3,Steel,circle,134.49994826821967,[0.29003439 0.02093406]
4,Aluminum,circle,75.54650387573898,[0.29809714 0.03368366]
5,Titanium,circle,26.582399250609622,[0.28919558 0.00681003]
6,Steel,triangle,4154.987504721521,[0.00697454 0.00405964]
7,Aluminum,triangle,4390.319176959394,[0.00715587 0.00416607]
8,Titanium,triangle,123.22059394597011,[0.25431065 0.07341367]
9,Steel,beam,83.99541395454015,[0.28322855 0.01343237]
10,Aluminum,beam,48.195100115981994,[0.28015733 0.02243594]
11,Titanium,beam,16.80470324646664,[0.29370425 0.00450527]
