,Material,shape,minimum,location
0,Steel,Square,270.43678484585433,[0.18863626 0.0943192 ]
1,Aluminum,Square,125.32729942270818,[0.21544718 0.10772391]
2,Titanium,Square,81.07563710366932,[0.13574309 0.06787219]
3,Steel,circle,301.2416721303717,[0.22464956 0.11232535]
4,Aluminum,circle,190.85175370557994,[0.3  0.15]
5,Titanium,circle,90.59745728501763,[0.16191463 0.08095783]
6,Steel,triangle,1161027.873802408,[0.11724806 0.06792047]
7,Aluminum,triangle,1540747.861015609,[0.10932117 0.07081076]
8,Titanium,triangle,1018.208469102567,[0.25420795 0.07243741]
9,Steel,beam,683.9999999999999,[0.3  0.15]
10,Aluminum,beam,242.99999999999994,[0.3  0.15]
11,Titanium,beam,81.33504865389428,[0.13689849 0.06844924]
