,Material,shape,minimum,location
0,Steel,Square,270.43678484585433,[0.18863626 0.0943192 ]
1,Aluminum,Square,125.32729942270818,[0.21544718 0.10772391]
2,Titanium,Square,81.07563710366932,[0.13574309 0.06787219]
3,Steel,circle,301.2416721303717,[0.22464956 0.11232535]
4,Aluminum,circle,140.1209880750535,[0.25705342 0.12852766]
5,Titanium,circle,90.59745728501763,[0.16191463 0.08095783]
6,Steel,triangle,672.1068193973518,[0.00279722 0.00162731]
7,Aluminum,triangle,1585.165099936535,[0.00429543 0.00249902]
8,Titanium,triangle,123.12154012315861,[0.25420799 0.07338434]
9,Steel,beam,269.27261455708424,[0.18823033 0.09411485]
10,Aluminum,beam,125.34478144561993,[0.21546227 0.10773117]
11,Titanium,beam,81.33504865389428,[0.13689849 0.06844924]
