,Material,shape,minimum,location
0,Steel,Square,91.05182052651395,[0.29853993 0.01039579]
1,Aluminum,Square,51.55620662929523,[0.29455745 0.0172122 ]
2,Titanium,Square,20.024835109076918,[0.28271842 0.0040834 ]
3,Steel,circle,133.72994535977014,[0.29109702 0.02071609]
4,Aluminum,circle,75.65362137133846,[0.29789491 0.03376837]
5,Titanium,circle,27.61151828750675,[0.28026708 0.00733038]
6,Steel,triangle,895.9173680222005,[0.00304635 0.00182594]
7,Aluminum,triangle,4932.018119985885,[0.00757056 0.0044121 ]
8,Titanium,triangle,123.22059394597011,[0.25431065 0.07341367]
9,Steel,beam,80.10985286906084,[0.29398127 0.01229468]
10,Aluminum,beam,44.677505343133845,[0.29433837 0.01961068]
11,Titanium,beam,16.76796201123934,[0.29003094 0.00442491]
