,Material,shape,minimum,location
0,Steel,Square,146.25591228010325,[0.21746004 0.02499731]
1,Aluminum,Square,73.25814517336407,[0.24065285 0.03260364]
2,Titanium,Square,61.12288799897275,[0.13970143 0.03235097]
3,Steel,circle,171.11296844634035,[0.25386189 0.0323542 ]
4,Aluminum,circle,79.3644669030223,[0.29108801 0.03679393]
5,Titanium,circle,33.55420802426713,[0.23887552 0.01063536]
6,Steel,triangle,181824.70293178348,[0.04671077 0.02696848]
7,Aluminum,triangle,343627.12183995603,[0.06421468 0.03707436]
8,Titanium,triangle,204815.03047591733,[0.04957601 0.02862272]
9,Steel,beam,114.25610520882579,[0.23069947 0.02328929]
10,Aluminum,beam,117.64595302957053,[0.21549824 0.09577593]
11,Titanium,beam,53.89517064288574,[0.14035162 0.03486486]
